service_id,date,exception_type
1,20250707,2
M11,20250707,1
1,20250708,2
M11,20250708,1
1,20250709,2
M11,20250709,1
1,20250710,2
M11,20250710,1
1,20250711,2
M11,20250711,1
1,20250714,2
M11,20250714,1
1,20250715,2
M11,20250715,1
1,20250716,2
M11,20250716,1
1,20250717,2
M11,20250717,1
1,20250718,2
M11,20250718,1
1,20250721,2
M11,20250721,1
1,20250722,2
M11,20250722,1
1,20250723,2
M11,20250723,1
1,20250724,2
M11,20250724,1
1,20250725,2
M11,20250725,1
1,20250728,2
M11,20250728,1
1,20250729,2
M11,20250729,1
1,20250730,2
M11,20250730,1
1,20250731,2
M11,20250731,1
1,20250801,2
M11,20250801,1
1,20250804,2
M11,20250804,1
1,20250805,2
M11,20250805,1
1,20250806,2
M11,20250806,1
1,20250807,2
M11,20250807,1
1,20250808,2
M11,20250808,1
1,20250811,2
M11,20250811,1
1,20250812,2
M11,20250812,1
1,20250813,2
M11,20250813,1
1,20250814,2
M11,20250814,1
1,20250815,2
M11,20250815,1
1,20250818,2
M21,20250818,1
1,20250819,2
M21,20250819,1
1,20250820,2
M21,20250820,1
1,20250821,2
M21,20250821,1
1,20250822,2
M21,20250822,1
1,20250825,2
M21,20250825,1
1,20250826,2
M21,20250826,1
1,20250827,2
M21,20250827,1
1,20250828,2
M21,20250828,1
1,20250829,2
M21,20250829,1
