route_id,agency_id,route_short_name,route_long_name,route_url,route_desc,route_type,route_color,route_text_color,route_sort_order
1,SFMTA,1,CALIFORNIA,http://www.sfmta.com/1,5am-12am daily (Every 5-15 min),3,005B95 ,FFFFFF,
12,SFMTA,12,FOLSOM-PACIFIC,http://www.sfmta.com/12,6am-10pm daily (Every 10-20 min),3,005B95 ,FFFFFF,
14,SFMTA,14,MISSION,http://www.sfmta.com/14,24 hrs daily (Every 7-15 min),3,005B95 ,FFFFFF,
14R,SFMTA,14R,MISSION RAPID,http://www.sfmta.com/14R,5am-10pm daily (Every 6-15 min),3,BF2B45 ,FFFFFF,
15,SFMTA,15,BAYVIEW HUNTERS POINT EXPRESS,http://www.sfmta.com/15,5am-10pm M-F; 8am-10pm Weekends (Every 12-20 min),3,005B95 ,FFFFFF,
18,SFMTA,18,46TH AVENUE,http://www.sfmta.com/18,6am-10pm daily (Every 20 min),3,005B95 ,FFFFFF,
19,SFMTA,19,POLK,http://www.sfmta.com/19,5am-10pm daily (Every 15-20 min),3,005B95 ,FFFFFF,
1X,SFMTA,1X,CALIFORNIA EXPRESS,http://www.sfmta.com/1X,7:15am-8:20am; 4:30pm-5:30pm M-F (Every 15-30 min),3,BF2B45 ,FFFFFF,
2,SFMTA,2,SUTTER,http://www.sfmta.com/2,6:30am-7pm M-F; 7am-7pm Weekends (Every 20 min),3,005B95 ,FFFFFF,
22,SFMTA,22,FILLMORE,http://www.sfmta.com/22,5am-12am daily (Every 6-15 min); 12am-5am daily (every 30 min),3,005B95 ,FFFFFF,
23,SFMTA,23,MONTEREY,http://www.sfmta.com/23,6am-10pm daily (Every 20-30 min),3,005B95 ,FFFFFF,
24,SFMTA,24,DIVISADERO,http://www.sfmta.com/24,24 hrs daily (Every 10-30 min),3,005B95 ,FFFFFF,
25,SFMTA,25,TREASURE ISLAND,http://www.sfmta.com/25,24 hrs daily (Every 20-30 min),3,005B95 ,FFFFFF,
27,SFMTA,27,BRYANT,http://www.sfmta.com/27,5am-10pm daily (Every 15-20 min),3,005B95 ,FFFFFF,
28,SFMTA,28,19TH AVENUE,http://www.sfmta.com/28,5am-12am daily (Every 12-20 min),3,005B95 ,FFFFFF,
28R,SFMTA,28R,19TH AVENUE RAPID,http://www.sfmta.com/28R,7am-7pm M-F (Every 12-13 min),3,BF2B45 ,FFFFFF,
29,SFMTA,29,SUNSET,http://www.sfmta.com/29,5am-12am daily (Every 9-20 min),3,005B95 ,FFFFFF,
30,SFMTA,30,STOCKTON,http://www.sfmta.com/30,5am-12am M-F; 6am-12am Weekends (Every 6-20 min),3,005B95 ,FFFFFF,
30X,SFMTA,30X,MARINA EXPRESS,http://www.sfmta.com/30X,M-F Eastbound from Beach & Divisadero at 7:15am & 7:45am,3,005B95 ,FFFFFF,
31,SFMTA,31,BALBOA,http://www.sfmta.com/31,5am-10pm daily (Every 20 min),3,005B95 ,FFFFFF,
33,SFMTA,33,ASHBURY-18TH ST,http://www.sfmta.com/33,5am-10pm daily (Every 20-30 min),3,005B95 ,FFFFFF,
35,SFMTA,35,EUREKA,http://www.sfmta.com/35,7am-9pm daily (Every 30 min),3,005B95 ,FFFFFF,
36,SFMTA,36,TERESITA,http://www.sfmta.com/36,6am-10pm M-F; 8am-10pm Weekends (Every 30 min),3,005B95 ,FFFFFF,
37,SFMTA,37,CORBETT,http://www.sfmta.com/37,6am-10pm M-F; 9am-10pm Weekends (Every 20-30 min),3,005B95 ,FFFFFF,
38,SFMTA,38,GEARY,http://www.sfmta.com/38,24 hrs daily (Every 8-20 min),3,005B95 ,FFFFFF,
38R,SFMTA,38R,GEARY RAPID,http://www.sfmta.com/38R,5am-10pm M-F; 6am-9pm Weekends (Every 6-12 min),3,BF2B45 ,FFFFFF,
39,SFMTA,39,COIT,http://www.sfmta.com/39,9am-7pm daily (Every 20 min),3,005B95 ,FFFFFF,
43,SFMTA,43,MASONIC,http://www.sfmta.com/43,5am-12am daily (Every 12-25 min),3,005B95 ,FFFFFF,
44,SFMTA,44,O'SHAUGHNESSY,http://www.sfmta.com/44,24 hrs daily (Every 9-30 min),3,005B95 ,FFFFFF,
